Electoral District Number,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage Turnout
35033,108051,83220,227,55990,99.4,312,0.6,56302,67.7
35034,110182,91802,260,61834,99.7,203,0.3,62037,67.6
35035,101932,69598,198,41083,99.3,269,0.7,41352,59.4
35036,107786,80639,217,50332,99.4,293,0.6,50625,62.8
35037,103615,77581,205,50554,99.4,307,0.6,50861,65.6
35038,109535,86222,228,62279,99.6,272,0.4,62551,72.5
35039,92528,72972,219,49797,99.6,199,0.4,49996,68.5
35121,108198,62928,184,35859,99.1,333,0.9,36192,57.5
35040,104842,80731,244,58245,99.6,232,0.4,58477,72.4
35041,100846,80433,210,63323,99.7,191,0.3,63514,79
35042,55977,44306,152,30752,99.5,144,0.5,30896,69.7
35043,109235,86158,231,54686,99.5,290,0.5,54976,63.8
35044,116996,93872,255,65772,99.6,242,0.4,66014,70.3
35045,102433,77887,214,52280,99.4,292,0.6,52572,67.5
35047,97673,72953,193,47829,99.5,259,0.5,48088,65.9
35046,93827,69166,213,47699,99.5,227,0.5,47926,69.3
35048,105919,81135,256,56363,99.6,224,0.4,56587,69.7
35049,98409,79461,231,57240,99.6,222,0.4,57462,72.3
35050,99306,79669,236,56436,99.7,189,0.3,56625,71.1
35052,118079,92950,242,64271,99.6,267,0.4,64538,69.4
35053,119090,93138,248,68027,99.6,286,0.4,68313,73.3
35051,119334,87298,233,54745,99.5,283,0.5,55028,63
35054,109780,87952,229,59773,99.7,189,0.3,59962,68.2
35055,102221,70864,190,42857,99.4,240,0.6,43097,60.8
35056,104693,82965,228,49839,99.5,246,0.5,50085,60.4
35057,88065,72329,187,49308,99.6,210,0.4,49518,68.5
35058,118756,83787,221,51852,99.3,342,0.7,52194,62.3
35059,121792,82765,217,51917,99.5,287,0.5,52204,63.1
35060,117199,83062,209,55347,99.6,245,0.4,55592,66.9
35061,118893,86675,250,59273,99.5,271,0.5,59544,68.7
35062,118046,75277,184,44256,99.5,237,0.5,44493,59.1
35063,118757,83361,209,55999,99.6,217,0.4,56216,67.4
35064,104775,84049,214,64888,99.6,262,0.4,65150,77.5
35065,109457,83351,224,56464,99.5,257,0.5,56721,68.1
35066,105860,83799,230,54682,99.4,323,0.6,55005,65.6
35067,128357,103291,270,64711,99.5,353,0.5,65064,63
35068,86533,69414,187,50657,99.5,242,0.5,50899,73.3
35069,90962,73466,208,49113,99.6,192,0.4,49305,67.1
35070,90996,71879,206,48875,99.5,224,0.5,49099,68.3
35071,107840,89605,277,63609,99.6,267,0.4,63876,71.3
35072,119649,88425,250,64703,99.6,245,0.4,64948,73.4
35073,114378,85747,233,60796,99.6,272,0.4,61068,71.2
35076,119247,97144,253,77988,99.7,272,0.3,78260,80.6
35074,125771,96372,264,60686,99.6,228,0.4,60914,63.2
35075,113619,94858,261,75500,99.5,386,0.5,75886,80
35077,121894,88368,228,64649,99.5,351,0.5,65000,73.6
35079,111881,84557,227,62913,99.5,307,0.5,63220,74.8
35078,110999,86591,251,63355,99.3,418,0.7,63773,73.6
35080,108656,84045,234,56850,99.6,241,0.4,57091,67.9
35081,105103,80262,215,58567,99.5,269,0.5,58836,73.3
35082,91263,76070,220,51279,99.7,134,0.3,51413,67.6
