Province,Electoral District Name,Electoral District Number,Candidate,Candidate Affiliation,Candidate Occupation,Votes Obtained,Percentage of Votes Obtained,Majority,Majority Percentage,Seat Assignment
Quebec,Hochelaga,24028,Alexandre Dang,Conservative,Student,3555,6.8,,,
Quebec,Hochelaga,24028,Anne-Marie Saint-Cerny,Green,Environmentalist,1654,3.2,,,
Quebec,Hochelaga,24028,Nicolas Lemay,Rhinoceros,Cook,411,0.8,,,
Quebec,Hochelaga,24028,Marianne Breton Fontaine,Communist,Student,179,0.3,,,
Quebec,Hochelaga,24028,Christine Dandenault,Marxist-Leninist,Administrative Assistant,148,0.3,,,
Quebec,Honoré-Mercier,24029,Pablo Rodriguez,Liberal,Administrator,29211,56.5,20733,40.1,42
Quebec,Honoré-Mercier,24029,Paulina Ayala,NDP,History and Geography Professor,8478,16.4,,,
Quebec,Honoré-Mercier,24029,Audrey Beauséjour,Bloc Québécois,Desk Officer,6680,12.9,,,
Quebec,Honoré-Mercier,24029,Guy Croteau,Conservative,Professional Chartered Accountant,6226,12.1,,,
Quebec,Honoré-Mercier,24029,Angela Budilean,Green,Mechanical Technician,814,1.6,,,
Quebec,Honoré-Mercier,24029,Dayana Dejean,Strength in Democracy,Mortgage Advisor,168,0.3,,,
Quebec,Honoré-Mercier,24029,Yves Le Seigle,Marxist-Leninist,Home Maintenance,81,0.2,,,
Quebec,Hull--Aylmer,24030,Greg Fergus,Liberal,Consultant,28478,51.4,11006,19.9,115
Quebec,Hull--Aylmer,24030,Nycole Turmel,NDP,Parliamentarian,17472,31.5,,,
Quebec,Hull--Aylmer,24030,Étienne Boulrice,Conservative,Special Assistant,4278,7.7,,,
Quebec,Hull--Aylmer,24030,Maude Chouinard-Boucher,Bloc Québécois,Student,3625,6.5,,,
Quebec,Hull--Aylmer,24030,Roger Fleury,Green,Retired Teacher,1035,1.9,,,
Quebec,Hull--Aylmer,24030,Sean J. Mulligan,Christian Heritage,Federal Government Employee (Passport),291,0.5,,,
Quebec,Hull--Aylmer,24030,Luc Desjardins,Independent,Automotive Mechanic,160,0.3,,,
Quebec,Hull--Aylmer,24030,Gabriel Girard-Bernier,Marxist-Leninist,Wine Steward,101,0.2,,,
Quebec,Joliette,24031,Gabriel Ste-Marie,Bloc Québécois,Economist,18875,33.3,2880,5.1,329
Quebec,Joliette,24031,Michel Bourgeois,Liberal,Storekeeper ,15995,28.2,,,
Quebec,Joliette,24031,Danielle Landreville,NDP,Retired,14566,25.7,,,
Quebec,Joliette,24031,Soheil Eid,Conservative,Pulmonologist,5705,10.1,,,
Quebec,Joliette,24031,Mathieu Morin,Green,Student,1335,2.4,,,
Quebec,Joliette,24031,Robert D. Morais,Strength in Democracy,Filmmaker,213,0.4,,,
Quebec,Jonquière,24032,Karine Trudel,NDP,Canada Post Letter Carrier,14039,29.2,339,0.7,261
Quebec,Jonquière,24032,Marc Pettersen,Liberal,Menuisier,13700,28.5,,,
Quebec,Jonquière,24032,Jean-François Caron,Bloc Québécois,Political Aide,11202,23.3,,,
Quebec,Jonquière,24032,Ursula Larouche,Conservative,Biologist,8124,16.9,,,
Quebec,Jonquière,24032,Carmen Budilean,Green,Organizer (Management),656,1.4,,,
Quebec,Jonquière,24032,Marielle Couture,Rhinoceros,Graphic Designer,382,0.8,,,
Quebec,La Pointe-de-l'Île,24033,Mario Beaulieu,Bloc Québécois,President,18545,33.6,2768,5,334
Quebec,La Pointe-de-l'Île,24033,Marie-Chantale Simard,Liberal,Scientific-Medical Liaison,15777,28.6,,,
Quebec,La Pointe-de-l'Île,24033,Ève Péclet,NDP,Parlementarian,14777,26.8,,,
Quebec,La Pointe-de-l'Île,24033,Guy Morissette,Conservative,"Specialist, Member Services at ICCRC ",4408,8,,,
Quebec,La Pointe-de-l'Île,24033,David J. Cox,Green,Writer,1130,2,,,
Quebec,La Pointe-de-l'Île,24033,Ben Benoit,Rhinoceros,Television cameraman,358,0.6,,,
Quebec,La Pointe-de-l'Île,24033,Jean-François Larose,Strength in Democracy,Parliamentarian,135,0.2,,,
Quebec,La Pointe-de-l'Île,24033,Geneviève Royer,Marxist-Leninist,Teacher,96,0.2,,,
Quebec,La Prairie,24034,Jean-Claude Poissant,Liberal,Farmer,20993,36.5,5886,10.2,80
Quebec,La Prairie,24034,Christian Picard,Bloc Québécois,Consultant,15107,26.2,,,
Quebec,La Prairie,24034,Pierre Chicoine,NDP,Supervisor,13174,22.9,,,
Quebec,La Prairie,24034,Yves Perras,Conservative,Real Estate Agent,6859,11.9,,,
Quebec,La Prairie,24034,Joanne Tomas,Green,Market Research,1235,2.1,,,
Quebec,La Prairie,24034,Normand Chouinard,Marxist-Leninist,Truck Driver,204,0.4,,,
Quebec,Lac-Saint-Jean,24035,Denis Lebel,Conservative,Parliamentarian,18393,33.3,2658,4.8,180
Quebec,Lac-Saint-Jean,24035,Gisèle Dallaire,NDP,Industrial Psychologist,15735,28.5,,,
Quebec,Lac-Saint-Jean,24035,Sabin Simard,Liberal,Consultant,10193,18.4,,,
Quebec,Lac-Saint-Jean,24035,Sabin Gaudreault,Bloc Québécois,Retired,10152,18.4,,,
Quebec,Lac-Saint-Jean,24035,Laurence Requilé,Green,Florist,806,1.5,,,
Quebec,Lac-Saint-Louis,24036,Francis Scarpaleggia,Liberal,Parliamentarian,39965,64.1,29108,46.7,58
Quebec,Lac-Saint-Louis,24036,Eric Girard,Conservative,Treasurer,10857,17.4,,,
Quebec,Lac-Saint-Louis,24036,Ryan Young,NDP,Teacher,7997,12.8,,,
Quebec,Lac-Saint-Louis,24036,Bradford Dean,Green,Community Worker,1812,2.9,,,
Quebec,Lac-Saint-Louis,24036,Gabriel Bernier,Bloc Québécois,Student,1681,2.7,,,
Quebec,LaSalle--Émard--Verdun,24037,David Lametti,Liberal,"Professor, McGill University",23603,43.9,8037,14.9,52
Quebec,LaSalle--Émard--Verdun,24037,Hélène LeBlanc,NDP,Parliamentarian,15566,29,,,
Quebec,LaSalle--Émard--Verdun,24037,Gilbert Paquette,Bloc Québécois,Teacher and Director,9164,17,,,
Quebec,LaSalle--Émard--Verdun,24037,Mohammad Zamir,Conservative,Contractor,3713,6.9,,,
Quebec,LaSalle--Émard--Verdun,24037,Lorraine Banville,Green,Oceanographer,1717,3.2,,,
Quebec,Laurentides--Labelle,24038,David Graham,Liberal,Parliamentary Assistant,20277,32.1,1485,2.4,126
Quebec,Laurentides--Labelle,24038,Johanne Régimbald,Bloc Québécois,Communication Self-employed Worker,18792,29.7,,,
Quebec,Laurentides--Labelle,24038,Simon-Pierre Landry,NDP,Doctor,16644,26.3,,,
Quebec,Laurentides--Labelle,24038,Sylvain Charron,Conservative,Tax Expert,6209,9.8,,,
Quebec,Laurentides--Labelle,24038,Niloufar Hedjazi,Green,Computer Engineer,1251,2,,,
Quebec,Laurier--Sainte-Marie,24039,Hélène Laverdière,NDP,Parliamentarian,20929,38.3,5230,9.6,188
Quebec,Laurier--Sainte-Marie,24039,Gilles Duceppe,Bloc Québécois,Political Commentator,15699,28.7,,,
Quebec,Laurier--Sainte-Marie,24039,Christine Poirier,Liberal,Contractor,12938,23.7,,,
Quebec,Laurier--Sainte-Marie,24039,Daniel Gaudreau,Conservative,Security Guard,2242,4.1,,,
Quebec,Laurier--Sainte-Marie,24039,Cyrille Giraud,Green,Compliance Auditor,1904,3.5,,,
Quebec,Laurier--Sainte-Marie,24039,Stéphane Beaulieu,Libertarian,Foreign Service Officer,604,1.1,,,
Quebec,Laurier--Sainte-Marie,24039,Julien Bernatchez,Independent,Poet,160,0.3,,,
Quebec,Laurier--Sainte-Marie,24039,Serge Lachapelle,Marxist-Leninist,Journalist,103,0.2,,,
Quebec,Laurier--Sainte-Marie,24039,Pierre Fontaine,Communist,Hospital Worker,102,0.2,,,
Quebec,Laval--Les Îles,24040,Fayçal El-Khoury,Liberal,Retired Engineer,25857,47.7,15147,27.9,111
Quebec,Laval--Les Îles,24040,François Pilon,NDP,Parliamentarian,10710,19.8,,,
Quebec,Laval--Les Îles,24040,Roland Dick,Conservative,Architecture and construction,9811,18.1,,,
Quebec,Laval--Les Îles,24040,Nancy Redhead,Bloc Québécois,Businesswoman,6731,12.4,,,
Quebec,Laval--Les Îles,24040,Faiza R'Guiba-Kalogerakis,Green,Researcher-Lecturer,921,1.7,,,
Quebec,Laval--Les Îles,24040,Yvon Breton,Marxist-Leninist,Translator,175,0.3,,,
Quebec,Lévis--Lotbinière,24042,Jacques Gourde,Conservative,Parlementarian,31357,50.1,17795,28.4,247
Quebec,Lévis--Lotbinière,24042,Claude Boucher,Liberal,Consultant,13562,21.7,,,
Quebec,Lévis--Lotbinière,24042,Hélène Bilodeau,NDP,Retired,9246,14.8,,,
Quebec,Lévis--Lotbinière,24042,Steve Gagné,Bloc Québécois,Investment Advisor,7163,11.4,,,
Quebec,Lévis--Lotbinière,24042,Tina Biello,Green,Coordinator,1124,1.8,,,
Quebec,Lévis--Lotbinière,24042,François Belanger,Alliance of the North,Environment,136,0.2,,,
Quebec,Longueuil--Charles-LeMoyne,24041,Sherry Romanado,Liberal,College Administrator and Faculty Lecturer,18301,35.4,4327,8.4,32
Quebec,Longueuil--Charles-LeMoyne,24041,Philippe Cloutier,Bloc Québécois,Teacher,13974,27,,,
Quebec,Longueuil--Charles-LeMoyne,24041,Sadia Groguhé,NDP,Parliamentarian,12468,24.1,,,
Quebec,Longueuil--Charles-LeMoyne,24041,Thomas Barré,Conservative,Bachelor of Political Science,4961,9.6,,,
Quebec,Longueuil--Charles-LeMoyne,24041,Mario Leclerc,Green,Fonctionnaire,1510,2.9,,,
Quebec,Longueuil--Charles-LeMoyne,24041,Matthew Iakov Liberman,Rhinoceros,Student,325,0.6,,,
Quebec,Longueuil--Charles-LeMoyne,24041,Pierre Chénier,Marxist-Leninist,Printer,168,0.3,,,
Quebec,Longueuil--Saint-Hubert,24043,Pierre Nantel,NDP,Parliamentarian,18171,31.2,703,1.2,254
Quebec,Longueuil--Saint-Hubert,24043,Michael O'Grady,Liberal,Self-employed Worker,17468,30,,,
Quebec,Longueuil--Saint-Hubert,24043,Denis Trudel,Bloc Québécois,Comedian,15873,27.3,,,
Quebec,Longueuil--Saint-Hubert,24043,John Sedlak,Conservative,Representative In-house,5087,8.7,,,
Quebec,Longueuil--Saint-Hubert,24043,Casandra Poitras,Green,Student,1447,2.5,,,
Quebec,Longueuil--Saint-Hubert,24043,Affine Lwalalika,Strength in Democracy,International Investigations Agent,153,0.3,,,
Quebec,Louis-Hébert,24044,Joël Lightbound,Liberal,Lawyer,21516,34.8,4727,7.7,35
Quebec,Louis-Hébert,24044,Jean-Pierre Asselin,Conservative,Manufacturer agent,16789,27.2,,,
Quebec,Louis-Hébert,24044,Denis Blanchette,NDP,Parliamentarian,12850,20.8,,,
Quebec,Louis-Hébert,24044,Caroline Pageau,Bloc Québécois,Translator,8900,14.4,,,
Quebec,Louis-Hébert,24044,Andrée-Anne Beaudoin-Julien,Green,Student,1561,2.5,,,
Quebec,Louis-Hébert,24044,Stefan Jetchick,Christian Heritage,Translator,128,0.2,,,
Quebec,Louis-Saint-Laurent,24045,Gérard Deltell,Conservative,Annuitant,32637,50.5,18785,29,177
Quebec,Louis-Saint-Laurent,24045,Youri Rousseau,Liberal,Manager- DND,13852,21.4,,,
Quebec,Louis-Saint-Laurent,24045,G. Daniel Caron,NDP,Economist,10296,15.9,,,
Quebec,Louis-Saint-Laurent,24045,Ronald Sirard,Bloc Québécois,Lawyer,6688,10.3,,,
Quebec,Louis-Saint-Laurent,24045,Michel Savard,Green,Retired,1210,1.9,,,
Quebec,Manicouagan,24046,Marilène Gill,Bloc Québécois,College Teacher,17338,41.3,4995,11.9,336
Quebec,Manicouagan,24046,Mario Tremblay,Liberal,Sales Representative,12343,29.4,,,
Quebec,Manicouagan,24046,Jonathan Genest-Jourdain,NDP,Lawyer,7359,17.5,,,
Quebec,Manicouagan,24046,Yvon Boudreau,Conservative,Retired,4317,10.3,,,
Quebec,Manicouagan,24046,Nathan Grills,Green,Political Staffer,673,1.6,,,
Quebec,Marc-Aurèle-Fortin,24065,Yves Robillard,Liberal,Retired,22323,40.9,9496,17.4,156
Quebec,Marc-Aurèle-Fortin,24065,Marie-Josée Lemieux,NDP,Psychologist and Manager,12827,23.5,,,
Quebec,Marc-Aurèle-Fortin,24065,Patrice Jasmin-Tremblay,Bloc Québécois,Photographer,11820,21.7,,,
Quebec,Marc-Aurèle-Fortin,24065,Nicolas Makridis,Conservative,Student,6498,11.9,,,
Quebec,Marc-Aurèle-Fortin,24065,Lorna Mungur,Green,Fundraising Coordinator,1057,1.9,,,
Quebec,Mégantic--L'Érable,24047,Luc Berthold,Conservative,Self-Employed,16749,35.4,3441,7.3,276
Quebec,Mégantic--L'Érable,24047,David Berthiaume,Liberal,Chemist,13308,28.1,,,
Quebec,Mégantic--L'Érable,24047,Jean-François Delisle,NDP,Teacher,10386,22,,,
Quebec,Mégantic--L'Érable,24047,Virginie Provost,Bloc Québécois,Student,5838,12.3,,,
Quebec,Mégantic--L'Érable,24047,Justin Gervais,Green,Student,1006,2.1,,,
Quebec,Mirabel,24048,Simon Marcil,Bloc Québécois,Syndicalist,18710,31.5,837,1.4,330
Quebec,Mirabel,24048,Mylène Freeman,NDP,Parliamentarian,17873,30.1,,,
Quebec,Mirabel,24048,Karl Trudel,Liberal,Manager,15514,26.1,,,
Quebec,Mirabel,24048,Gordon Ferguson,Conservative,Development Agent,6020,10.1,,,
Quebec,Mirabel,24048,Jocelyn Gifford,Green,Co-ordinator,1301,2.2,,,
Quebec,Montarville,24049,Michel Picard,Liberal,Analyst,18848,32.5,2388,4.1,155
Quebec,Montarville,24049,Catherine Fournier,Bloc Québécois,Economist,16460,28.4,,,
Quebec,Montarville,24049,Djaouida Sellah,NDP,Parliamentarian,14296,24.7,,,
Quebec,Montarville,24049,Stéphane Duranleau,Conservative,Lawyer,6284,10.9,,,
Quebec,Montarville,24049,Olivier Adam,Green,Cinematographer - Director,1388,2.4,,,
Quebec,Montarville,24049,Claude Leclair,Libertarian,Retired,641,1.1,,,
Quebec,Montcalm,24050,Luc Thériault,Bloc Québécois,"Special Advisor, Bloc Quebecois",19405,36.6,4921,9.3,333
Quebec,Montcalm,24050,Louis-Charles Thouin,Liberal,Mayor,14484,27.3,,,
Quebec,Montcalm,24050,Martin Leclerc,NDP,Journalist,12431,23.5,,,
Quebec,Montcalm,24050,Gisèle DesRoches,Conservative,Human Resources Management Consultant,5093,9.6,,,
Quebec,Montcalm,24050,Yumi Yow Mei Ang,Green,Instructor,976,1.8,,,
Quebec,Montcalm,24050,Manon Perreault,Strength in Democracy,Parliamentarian,620,1.2,,,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Bernard Généreux,Conservative,Entrepreneur,14274,29,272,0.6,246
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Marie-Josée Normand,Liberal,Financial Security Advisor,14002,28.4,,,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,François Lapointe,NDP,Parliamentarian,11918,24.2,,,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Louis Gagnon,Bloc Québécois,Teacher,7939,16.1,,,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Chantal Breton,Green,Buildings Manager,823,1.7,,,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Bien Gras Gagné,Rhinoceros,Musician,287,0.6,,,
Quebec,Mount Royal,24052,Anthony Housefather,Liberal,Attorney,24187,50.3,5986,12.5,128
Quebec,Mount Royal,24052,Robert Libman,Conservative,Architect,18201,37.9,,,
Quebec,Mount Royal,24052,Mario Jacinto Rimbao,NDP,Fleet Operator,3884,8.1,,,
Quebec,Mount Royal,24052,Jade Bossé Bélanger,Bloc Québécois,Junior Engineer,908,1.9,,,
Quebec,Mount Royal,24052,Timothy Landry,Green,Financial Security Advisor,747,1.6,,,
Quebec,Mount Royal,24052,Diane Johnston,Marxist-Leninist,Office Clerk,124,0.3,,,
Quebec,Notre-Dame-de-Grâce--Westmount,24053,Marc Garneau,Liberal,Parliamentarian,29755,57.7,18526,35.9,44
Quebec,Notre-Dame-de-Grâce--Westmount,24053,James Hughes,NDP,Executive Manager,11229,21.8,,,
Quebec,Notre-Dame-de-Grâce--Westmount,24053,Richard Sagala,Conservative,Enseignant,7414,14.4,,,
Quebec,Notre-Dame-de-Grâce--Westmount,24053,Melissa Kate Wheeler,Green,Fundraiser,1581,3.1,,,
Quebec,Notre-Dame-de-Grâce--Westmount,24053,Simon Quesnel,Bloc Québécois,Salesperson,1282,2.5,,,
Quebec,Notre-Dame-de-Grâce--Westmount,24053,Rachel Hoffman,Marxist-Leninist,Graphic designer,181,0.4,,,
Quebec,Notre-Dame-de-Grâce--Westmount,24053,Lisa Julie Cahn,Independent,Marketing Consultant,151,0.3,,,
Quebec,Outremont,24054,Tom Mulcair,NDP,Parliamentarian,19242,44.1,4645,10.6,189
Quebec,Outremont,24054,Rachel Bendayan,Liberal,Lawyer,14597,33.5,,,
Quebec,Outremont,24054,Rodolphe Husny,Conservative,Accountant,4159,9.5,,,
Quebec,Outremont,24054,Roger Galland Barou,Bloc Québécois,Self-employed Health and Safety Worker,3668,8.4,,,
Quebec,Outremont,24054,Amara Diallo,Green,Biologist,1575,3.6,,,
Quebec,Outremont,24054,Francis Pouliot,Libertarian,Self Employed,216,0.5,,,
Quebec,Outremont,24054,Adrien Welsh,Communist,Student,162,0.4,,,
Quebec,Papineau,24055,Justin Trudeau,Liberal,Parliamentarian,26391,52,13259,26.1,11
Quebec,Papineau,24055,Anne Lagacé Dowson,NDP,Journalist,13132,25.9,,,
Quebec,Papineau,24055,Maxime Claveau,Bloc Québécois,Teacher,6182,12.2,,,
Quebec,Papineau,24055,Yvon Vadnais,Conservative,Manager,2390,4.7,,,
Quebec,Papineau,24055,Danny Polifroni,Green,Community Worker,1443,2.8,,,
Quebec,Papineau,24055,Chris Lloyd,Independent,Artist,505,1,,,
Quebec,Papineau,24055,Tommy Gaudet,Rhinoceros,Douteulogue,323,0.6,,,
Quebec,Papineau,24055,Kim Waldron,Independent,Artist,159,0.3,,,
Quebec,Papineau,24055,Peter Macrisopoulos,Marxist-Leninist,Retired,142,0.3,,,
Quebec,Papineau,24055,Beverly Bernardo,Independent,Commercial Retail Worker,103,0.2,,,
Quebec,Pierre-Boucher--Les Patriotes--Verchères,24014,Xavier Barsalou-Duval,Bloc Québécois,Accounting Teacher,17007,28.6,213,0.4,335
Quebec,Pierre-Boucher--Les Patriotes--Verchères,24014,Lucie Gagnon,Liberal,Comedian,16794,28.3,,,
Quebec,Pierre-Boucher--Les Patriotes--Verchères,24014,Raphaël Fortin,NDP,Banquet Waiter,14454,24.3,,,
Quebec,Pierre-Boucher--Les Patriotes--Verchères,24014,Clovis Maheux,Conservative,Retired,6079,10.2,,,
Quebec,Pierre-Boucher--Les Patriotes--Verchères,24014,JiCi Lauzon,Green,Comedian,5056,8.5,,,
Quebec,Pierrefonds--Dollard,24056,Frank Baylis,Liberal,Engineer,34319,58.7,22625,38.7,95
Quebec,Pierrefonds--Dollard,24056,Valérie Assouline,Conservative,Lawyer,11694,20,,,
Quebec,Pierrefonds--Dollard,24056,Lysane Blanchette-Lamothe,NDP,Parliamentarian,9584,16.4,,,
Quebec,Pierrefonds--Dollard,24056,Natalie Laplante,Bloc Québécois,Laboratory Technician,2043,3.5,,,
Quebec,Pierrefonds--Dollard,24056,Abraham Weizfeld,Green,Writer,865,1.5,,,
Quebec,Pontiac,24057,William Amos,Liberal,Lawyer,34154,54.5,20064,32,89
Quebec,Pontiac,24057,Mathieu Ravignat,NDP,Parliamentarian,14090,22.5,,,
Quebec,Pontiac,24057,Benjamin Woodman,Conservative,Policy Advisor,8716,13.9,,,
Quebec,Pontiac,24057,Nicolas Lepage,Bloc Québécois,Student,4337,6.9,,,
Quebec,Pontiac,24057,Colin Griffiths,Green,Retired,1089,1.7,,,
Quebec,Pontiac,24057,Pascal Médieu,Strength in Democracy,Senior International Development Officer,131,0.2,,,
Quebec,Pontiac,24057,Louis Lang,Marxist-Leninist,Retired,108,0.2,,,
Quebec,Portneuf--Jacques-Cartier,24058,Joël Godin,Conservative,Political Advisor,27290,44,13604,21.9,282
Quebec,Portneuf--Jacques-Cartier,24058,Élaine Michaud,NDP,Parliamentarian,13686,22.1,,,
Quebec,Portneuf--Jacques-Cartier,24058,David Gauvin,Liberal,Engineer,13322,21.5,,,
Quebec,Portneuf--Jacques-Cartier,24058,Raymond Harvey,Bloc Québécois,Manager,6665,10.7,,,
Quebec,Portneuf--Jacques-Cartier,24058,Johanne Morin,Green,Student,1096,1.8,,,
Quebec,Québec,24059,Jean-Yves Duclos,Liberal,Professor,15566,28.9,1000,1.9,46
Quebec,Québec,24059,Annick Papillon,NDP,Parliamentarian,14566,27,,,
Quebec,Québec,24059,Pierre-Thomas Asselin,Conservative,Political Attaché,11737,21.8,,,
Quebec,Québec,24059,Charles Mordret,Bloc Québécois,Businessman,10153,18.8,,,
Quebec,Québec,24059,Philippe Riboty,Green,Psychology Teacher,1570,2.9,,,
Quebec,Québec,24059,Normand Fournier,Marxist-Leninist,Annuitant,153,0.3,,,
Quebec,Québec,24059,Danielle Provost,Strength in Democracy,Artistic Painter,122,0.2,,,
Quebec,Repentigny,24060,Monique Pauzé,Bloc Québécois,Retired,22618,34.7,4820,7.4,331
Quebec,Repentigny,24060,Adriana Dudas,Liberal,Store Manager,17798,27.3,,,
Quebec,Repentigny,24060,Réjean Bellemare,NDP,Economist,15167,23.3,,,
Quebec,Repentigny,24060,Jonathan Lefebvre,Conservative,Federal Public Servant,7053,10.8,,,
Quebec,Repentigny,24060,Johnathan Cloutier,Strength in Democracy,Real Estate Agent,1333,2,,,
Quebec,Repentigny,24060,Yoland Gilbert,Green,IT Consultant,1242,1.9,,,
Quebec,Richmond--Arthabaska,24061,Alain Rayes,Conservative,Mayor,18505,31.6,4042,6.9,217
Quebec,Richmond--Arthabaska,24061,Marc Desmarais,Liberal,Lobbyist,14463,24.7,,,
Quebec,Richmond--Arthabaska,24061,Myriam Beaulieu,NDP,Farmer,14213,24.2,,,
Quebec,Richmond--Arthabaska,24061,Olivier Nolin,Bloc Québécois,Student,10068,17.2,,,
Quebec,Richmond--Arthabaska,24061,Laurier Busque,Green,Retired Professor,984,1.7,,,
Quebec,Richmond--Arthabaska,24061,Antoine Dubois,Rhinoceros,Teacher,384,0.7,,,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Guy Caron,NDP,Ecomonist,19374,43.1,6780,15.1,294
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Pierre Cadieux,Liberal,Professor,12594,28,,,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Johanne Carignan,Bloc Québécois,Lecturer,8673,19.3,,,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Francis Fortin,Conservative,Project Manager,3363,7.5,,,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Louise Boutin,Green,Realtor,669,1.5,,,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,24018,Sébastien CôRhino Côrriveau,Rhinoceros,Clarinetist,273,0.6,,,
Quebec,Rivière-des-Mille-Îles,24062,Linda Lapointe,Liberal,Businesswoman,18787,32.4,1676,2.9,134
Quebec,Rivière-des-Mille-Îles,24062,Laurin Liu,NDP,Parliamentarian,17111,29.5,,,
Quebec,Rivière-des-Mille-Îles,24062,Félix Pinel,Bloc Québécois,Teacher,14755,25.4,,,
Quebec,Rivière-des-Mille-Îles,24062,Érick Gauthier,Conservative,Teacher,6099,10.5,,,
Quebec,Rivière-des-Mille-Îles,24062,Alec Ware,Green,Nurse,1136,2,,,
Quebec,Rivière-des-Mille-Îles,24062,Luis Quinteros,Independent,Annuitant,158,0.3,,,
Quebec,Rivière-du-Nord,24063,Rhéal Fortin,Bloc Québécois,Lawyer,18157,32,1080,1.9,332
Quebec,Rivière-du-Nord,24063,Pierre Dionne Labelle,NDP,Parliamentarian,17077,30.1,,,
Quebec,Rivière-du-Nord,24063,Janice Bélair Rolland,Liberal,Sales Director,14933,26.4,,,
Quebec,Rivière-du-Nord,24063,Romain Vignol,Conservative,Student,4793,8.5,,,
Quebec,Rivière-du-Nord,24063,Joey Leckman,Green,Teacher,1436,2.5,,,
Quebec,Rivière-du-Nord,24063,Fobozof A. Côté,Rhinoceros,Retired Architect,261,0.5,,,
Quebec,Rosemont--La Petite-Patrie,24064,Alexandre Boulerice,NDP,Parliamentarian,28672,49.2,16389,28.1,226
Quebec,Rosemont--La Petite-Patrie,24064,Claude André,Bloc Québécois,Journalist,12283,21.1,,,
Quebec,Rosemont--La Petite-Patrie,24064,Nadine Medawar,Liberal,Songwriter,12068,20.7,,,
Quebec,Rosemont--La Petite-Patrie,24064,Jeremy Dohan,Conservative,Military Reservist,2510,4.3,,,
Quebec,Rosemont--La Petite-Patrie,24064,Sameer Muldeen,Green,Manager,1783,3.1,,,
Quebec,Rosemont--La Petite-Patrie,24064,Laurent Aglat,Rhinoceros,Composer,495,0.8,,,
Quebec,Rosemont--La Petite-Patrie,24064,Peter d'Entremont,Libertarian,Computer Analyst,353,0.6,,,
Quebec,Rosemont--La Petite-Patrie,24064,Stéphane Chénier,Marxist-Leninist,Child-Care Services Educator ,171,0.3,,,
Quebec,Saint-Hyacinthe--Bagot,24066,Brigitte Sansoucy,NDP,Regional Development Consultant,15578,28.7,598,1.1,259
Quebec,Saint-Hyacinthe--Bagot,24066,René Vincelette,Liberal,Human Resources Deputy Director,14980,27.6,,,
Quebec,Saint-Hyacinthe--Bagot,24066,Michel Filion,Bloc Québécois,Public Administration Consultant,13200,24.3,,,
Quebec,Saint-Hyacinthe--Bagot,24066,Réjean Léveillé,Conservative,Broadcaster,9098,16.7,,,
Quebec,Saint-Hyacinthe--Bagot,24066,Lise Durand,Green,Retired,1243,2.3,,,
Quebec,Saint-Hyacinthe--Bagot,24066,Ugo Ménard,Independent,Microbiologist,270,0.5,,,
Quebec,Saint-Jean,24067,Jean Rioux,Liberal,Retired,20022,33.2,2467,4.1,34
Quebec,Saint-Jean,24067,Hans Marotte,NDP,lawyer,17555,29.1,,,
Quebec,Saint-Jean,24067,Denis Hurtubise,Bloc Québécois,Programmer Analyst,14979,24.8,,,
Quebec,Saint-Jean,24067,Stéphane Guinta,Conservative,Lawyer,6549,10.8,,,
Quebec,Saint-Jean,24067,Marilyn Redivo,Green,Self-employed,1281,2.1,,,
Quebec,Saint-Laurent,24068,Stéphane Dion,Liberal,Parliamentarian,24832,61.6,16965,42.1,
Quebec,Saint-Laurent,24068,Jimmy Yu,Conservative,Businessman,7867,19.5,,,
Quebec,Saint-Laurent,24068,Alain Ackad,NDP,Engineer,4646,11.5,,,
Quebec,Saint-Laurent,24068,Pascal-Olivier Dumas-Dubreuil,Bloc Québécois,Student,1879,4.7,,,
Quebec,Saint-Laurent,24068,John Tromp,Green,CEGEP Teacher,977,2.4,,,
Quebec,Saint-Laurent,24068,Fernand Deschamps,Marxist-Leninist,Teacher,129,0.3,,,
Quebec,Saint-Léonard--Saint-Michel,24069,Nicola Di Iorio,Liberal,Lawyer,28826,64.7,22215,49.9,106
Quebec,Saint-Léonard--Saint-Michel,24069,Rosannie Filato,NDP,Lawyer,6611,14.8,,,
Quebec,Saint-Léonard--Saint-Michel,24069,Jean Philippe Fournier,Conservative,Student,4957,11.1,,,
Quebec,Saint-Léonard--Saint-Michel,24069,Steeve Gendron,Bloc Québécois,Chartered Professional Accountant,3204,7.2,,,
Quebec,Saint-Léonard--Saint-Michel,24069,Melissa Miscione,Green,Interior designer,805,1.8,,,
