Province,Electoral District Name,Electoral District Number,Candidate,Candidate Affiliation,Candidate Occupation,Votes Obtained,Percentage of Votes Obtained,Majority,Majority Percentage,Seat Assignment
Quebec,Abitibi--Témiscamingue,24002,Benoit Fortin,Conservative,Director,3425,6.9,,,
Quebec,Abitibi--Témiscamingue,24002,Aline Bégin,Green,Teacher,859,1.7,,,
Quebec,Abitibi--Témiscamingue,24002,Pascal Le Fou Gélinas,Rhinoceros,Artist,425,0.9,,,
Quebec,Ahuntsic-Cartierville,24003,Mélanie Joly,Liberal,Lawyer,26026,46.8,9342,16.8,6
Quebec,Ahuntsic-Cartierville,24003,Maria Mourani,NDP,Sociologist and criminologist,16684,30,,,
Quebec,Ahuntsic-Cartierville,24003,Nicolas Bourdon,Bloc Québécois,Professor,7346,13.2,,,
Quebec,Ahuntsic-Cartierville,24003,Wiliam Moughrabi,Conservative,Store Manager,4051,7.3,,,
Quebec,Ahuntsic-Cartierville,24003,Gilles Mercier,Green,Work Inspector,1175,2.1,,,
Quebec,Ahuntsic-Cartierville,24003,Catherine Gascon-David,Rhinoceros,Student,285,0.5,,,
Quebec,Alfred-Pellan,24004,Angelo Iacono,Liberal,Lawyer,24557,44.5,11332,20.5,129
Quebec,Alfred-Pellan,24004,Rosane Doré Lefebvre,NDP,Parliamentarian,13225,24,,,
Quebec,Alfred-Pellan,24004,Daniel St-Hilaire,Bloc Québécois,Professional athletics coach,9836,17.8,,,
Quebec,Alfred-Pellan,24004,Gabriel Purcarus,Conservative,Courtier Immobilier,6259,11.3,,,
Quebec,Alfred-Pellan,24004,Lynda Briguene,Green,President and Director ,1089,2,,,
Quebec,Alfred-Pellan,24004,Renata Isopo,Independent,Teacher,203,0.4,,,
Quebec,Argenteuil--La Petite-Nation,24005,Stéphane Lauzon,Liberal,Municipal Councillor,22093,43.3,9443,18.5,33
Quebec,Argenteuil--La Petite-Nation,24005,Chantal Crête,NDP,Educational Psychologist,12650,24.8,,,
Quebec,Argenteuil--La Petite-Nation,24005,Jonathan Beauchamp,Bloc Québécois,Development Officer,9525,18.7,,,
Quebec,Argenteuil--La Petite-Nation,24005,Maxime Hupé-Labelle,Conservative,Political Analyst,5680,11.1,,,
Quebec,Argenteuil--La Petite-Nation,24005,Audrey Lamarche,Green,Sports Therapist,1118,2.2,,,
Quebec,Avignon--La Mitis--Matane--Matapédia,24006,Rémi Massé,Liberal,Director General,14378,39.5,6737,18.5,143
Quebec,Avignon--La Mitis--Matane--Matapédia,24006,Kédina Fleury-Samson,Bloc Québécois,Entrepreneur,7641,21,,,
Quebec,Avignon--La Mitis--Matane--Matapédia,24006,Joël Charest,NDP,Political Attaché,7340,20.2,,,
Quebec,Avignon--La Mitis--Matane--Matapédia,24006,Jean-François Fortin,Strength in Democracy,Political science instructor,4229,11.6,,,
Quebec,Avignon--La Mitis--Matane--Matapédia,24006,André Savoie,Conservative,Storekeeper,2228,6.1,,,
Quebec,Avignon--La Mitis--Matane--Matapédia,24006,Sherri Springle,Green,Student,365,1,,,
Quebec,Avignon--La Mitis--Matane--Matapédia,24006,Éric Normand,Rhinoceros,Artist,175,0.5,,,
Quebec,Beauce,24007,Maxime Bernier,Conservative,Lawyer,32910,58.9,20468,36.6,324
Quebec,Beauce,24007,Adam Veilleux,Liberal,Businessman,12442,22.3,,,
Quebec,Beauce,24007,Daniel Royer,NDP,Teacher,5443,9.7,,,
Quebec,Beauce,24007,Stéphane Trudel,Bloc Québécois,Student-Researcher,4144,7.4,,,
Quebec,Beauce,24007,Céline Brown MacDonald,Green,Information Officer,943,1.7,,,
Quebec,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,Sylvie Boucher,Conservative,Manager,16903,33.5,3347,6.6,244
Quebec,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,Jean-Roger Vigneau,Liberal,Manager,13556,26.9,,,
Quebec,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,Sébastien Dufour,Bloc Québécois,Assistant Chief of Staff,9650,19.1,,,
Quebec,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,Jonathan Tremblay,NDP,Parliamentarian,9306,18.4,,,
Quebec,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,Patrick Kerr,Green,Engineer,859,1.7,,,
Quebec,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,Mario Desjardins Pelchat,Strength in Democracy,Self-employed,182,0.4,,,
Quebec,Beauport--Limoilou,24008,Alupa Clarke,Conservative,Military,15461,30.6,2580,5.1,205
Quebec,Beauport--Limoilou,24008,Raymond Côté,NDP,Parliamentarian,12881,25.5,,,
Quebec,Beauport--Limoilou,24008,Antoine Bujold,Liberal,Restaurateur,12854,25.4,,,
Quebec,Beauport--Limoilou,24008,Doni Berberi,Bloc Québécois,Administrator,7467,14.8,,,
Quebec,Beauport--Limoilou,24008,Dalila Elhak,Green,Real Estate Broker,1220,2.4,,,
Quebec,Beauport--Limoilou,24008,Francis Bedard,Libertarian,Retired,423,0.8,,,
Quebec,Beauport--Limoilou,24008,Claude Moreau,Marxist-Leninist,Stationary Mechanic,128,0.3,,,
Quebec,Beauport--Limoilou,24008,Bladimir Laborit,Strength in Democracy,Assistant Manager,124,0.2,,,
Quebec,Bécancour--Nicolet--Saurel,24009,Louis Plamondon,Bloc Québécois,Parliamentarian,20871,40,8205,15.7,328
Quebec,Bécancour--Nicolet--Saurel,24009,Claude Carpentier,Liberal,Retired,12666,24.3,,,
Quebec,Bécancour--Nicolet--Saurel,24009,Nicolas Tabah,NDP,Telecommunications Trainer ,11531,22.1,,,
Quebec,Bécancour--Nicolet--Saurel,24009,Yves Laberge,Conservative,Part-time Professor,5955,11.4,,,
Quebec,Bécancour--Nicolet--Saurel,24009,Corina Bastiani,Green,Consultant,1182,2.3,,,
Quebec,Bellechasse--Les Etchemins--Lévis,24010,Steven Blaney,Conservative,Parliamentarian,31872,50.9,18911,30.2,310
Quebec,Bellechasse--Les Etchemins--Lévis,24010,Jacques Turgeon,Liberal,Producer,12961,20.7,,,
Quebec,Bellechasse--Les Etchemins--Lévis,24010,Jean-Luc Daigle,NDP,Retired,8516,13.6,,,
Quebec,Bellechasse--Les Etchemins--Lévis,24010,Antoine Dubé,Bloc Québécois,Recreologist,7217,11.5,,,
Quebec,Bellechasse--Les Etchemins--Lévis,24010,André Bélisle,Green,Environmentalist,2032,3.2,,,
Quebec,Beloeil--Chambly,24011,Matthew Dubé,NDP,Parliamentarian,20641,31.1,1147,1.7,223
Quebec,Beloeil--Chambly,24011,Karine Desjardins,Liberal,Businesswoman,19494,29.3,,,
Quebec,Beloeil--Chambly,24011,Yves Lessard,Bloc Québécois,Agricultural producer,18387,27.7,,,
Quebec,Beloeil--Chambly,24011,Claude Chalhoub,Conservative,Fleet Manager,6173,9.3,,,
Quebec,Beloeil--Chambly,24011,Fodé Kerfalla Yansané,Green,Urban Planning Consultant,1498,2.3,,,
Quebec,Beloeil--Chambly,24011,Michael Maher,Libertarian,Sound Technician,245,0.4,,,
Quebec,Berthier--Maskinongé,24012,Ruth Ellen Brosseau,NDP,Parliamentarian,22942,42.2,8905,16.4,193
Quebec,Berthier--Maskinongé,24012,Yves Perron,Bloc Québécois,Teacher,14037,25.8,,,
